Ship,Sunk date,Notes,Coordinates
Lisbon Maru,2-Oct-42,A troopship and prisoner-of-war transport that was torpedoed by USS Grouper off Zhoushan.,30°13′48″N 122°45′54″E
Nagara,7-Aug-44,A Nagara-class light cruiser that was torpedoed by USS Croaker off Amakusa.,32°09′N 129°53′E
Nankai Maru,Jan-58,"A ferry between Wakayama and Tokushima that capsized off southern Awaji Island, killing at least 167.",
Nisshin,18-Jan-42,A Kasuga-class armored cruiser that was sunk as a target southwest of Kure.,34°05′N 132°53′E
Nossa Senhora da Graça,6 January 1610,A Portuguese carrack that was sunk by its own captain in the mouth of Nagasaki Bay after being boarded by Japanese samurai and set on fire.,
Numakaze,18-Dec-43,A Minekaze-class destroyer that was sunk northeast of Naha.,26°29′N 128°26′E
Okikaze,10-Jan-43,A Minekaze-class destroyer that was torpedoed by USS Trigger southeast of Yokosuka.,35°02′N 140°12′E
Oslyabya,27-May-05,A Russian battleship that was sunk in the Battle of Tsushima.,
Otowa,10-Aug-17,A protected cruiser that ran aground and broke apart off Shima.,34°14′N 136°53′E
Seiki,10 December 1888,A screw sloop that ran aground in Suruga Bay.,35°07′N 138°40′E
Sekirei Maru,Dec-45,"A passenger boat that capsized in stormy conditions off Akashi, Hyogo, with at least 304 people confirmed dead.",
Shiun Maru,May-55,"A ferry that capsized and sank during fog off Takamatsu, Shikoku, killing at least 168.",
USS Skylark,28-Apr-45,An Auk-class minesweeper that struck a mine off Hagushi.,26°20′N 127°40′E
Sissoi Veliky,28-May-05,A Russian battleship that was sunk in the Battle of Tsushima.,
USS Swallow,22-Apr-45,An Auk-class minesweeper that was sunk by kamikaze aircraft off Okinawa.,26°10′N 127°12′E
USS Tang,24-Oct-44,A Balao-class submarine that was sunk by her own torpedo in the Taiwan Strait.,25°6′N 119°31′E
Tarumizu Maru No.6,Feb-44,"A regular route ferry between Tarumizu and Kagoshima that capsized off Kagoshima Bay, with at least 464 people confirmed dead.",
Thor,30-Nov-42,"An auxiliary cruiser that was destroyed by fire while moored at Yokohama, and abandoned.",35°23′50″N 139°38′50″E
USS Thornton,2-May-45,A Clemson-class destroyer that was beached in the Ryukyu Islands after taking damage in a collision.,
Tofuku Maru,24-Dec-43,A hell ship that was torpedoed by USS Gurnard off the east coast of Honshu.,34°02′N 136°19′E
Tokiwa Maru,19-Jun-43,"A regular route ferry between Naruto and Kobe. It capsized in a collision with the cargo ship Richmond Maru off Kobe, with at least 47 confirmed dead.",
Tosa,9-Feb-25,A Tosa-class battleship that was scuttled south of Mizunokojima Lighthouse.,
Tōya Maru,26-Sep-54,"A train ferry that sank in a typhoon off Hakodate, resulting in around 1,153 deaths.",41°11′36″N 140°09′07″E
Toyo Maru No 10,Nov-45,"A passenger ferry sank by overloaded three times capacity, off Hakata Island, Seto Inland Sea, at least 397 persons confirmed dead.",
Tsushima Maru,22-Aug-44,"A passenger ship that was sunk by USS Bowfin off Akusekijima, killing 1,484 civilians, including 767 schoolchildren.",29°32′33″N 129°33′30″E
Vladimir Monomakh,28-May-05,An armored cruiser that was damaged by Japanese torpedo boats and scuttled off Tsushima Island.,34°32′N 129°40′E
Danny F II,17-Dec-09,"A livestock carrier that capsized 11 nautical miles (20 km; 13 mi) from Tripoli, resulting in the death of nearly 30,000 sheep and cattle.",
HMS Victoria,22 June 1893,A British battleship that collided with HMS Camperdown near Tripoli.,
Atago Maru,28-Nov-44,"A merchant vessel that was sunk off Miri, Sarawak.",04°29′N 114°00′E
Awazisan Maru,8-Dec-41,A World War II Japanese troopship that was bombed and sunk off the coast of Kota Bharu.,
Haguro,16-May-45,A Myōkō-class cruiser that was sunk in the Strait of Malacca by gunfire and torpedoes from Royal Navy destroyers.,
Hatsutaka,16-May-45,A Hatsutaka-class minelayer that was torpedoed by USS Hawkbill off Pulau Tenggol.,04°49′N 103°31′E
Kuma,11-Jan-44,A Kuma-class light cruiser that was torpedoed by HMS Tally-Ho off Penang.,05°26′N 99°52′E
Kuroshio Maru,Mar-60,A tanker that was sunk as a target off Aur Island.,2°33′N 104°40′E
HMS Prince of Wales,10-Dec-41,"A King George V-class battleship that was launched in 1939 and sunk by Japanese bombers, along with HMS Repulse.",3°34′N 104°26′E
HMS Repulse,10-Dec-41,"A Renown-class battlecruiser that was launched in 1916, and sunk by Japanese bombers, along with HMS Prince of Wales.",3°34′N 104°26′E
HMS Stratagem,22-Nov-44,An S-class submarine that was sunk by a Japanese submarine chaser near Batu Pahat.,1°36′N 102°53′E
Abukuma,26-Oct-44,A Nagara-class light cruiser that was bombed by US aircraft off Negros Island.,09°20′N 122°32′E
Akebono,14-Nov-44,"A Fubuki-class destroyer that was bombed by US aircraft at Cavite, in an attack which also sunk Akishimo.",14°35′N 120°55′E
Akigumo,11-Apr-44,A Kagerō-class destroyer that was torpedoed by USS Redfin southeast of Zamboanga Peninsula.,06°43′N 122°23′E
Akishimo,14-Nov-44,"A Yūgumo-class destroyer that was bombed by US aircraft at Cavite, in an attack which also sunk Akebono.",14°35′N 120°55′E
Akitsushima,24-Sep-44,A Japanese seaplane tender that was sunk at Coron Island.[13],
Asakaze (1922),23-Aug-44,A Kamikaze-class destroyer that was torpedoed by USS Haddo southwest of Bolinao.,16°6′N 119°44′E
Asia South Korea,22-Dec-99,A passenger ferry that sank off Bantayan Island.,
Awa Maru,1-Apr-45,"A hospital ship that was sunk off the coast of Camiguin by USS Queenfish, who mistook her for a destroyer.",
USS Barbel,4-Feb-45,A Balao-class submarine that was sunk by Japanese aircraft off Palawan.,7°49′N 116°47′E
Castilla,1 May 1898,An Aragon-class cruiser sunk in the Battle of Manila Bay.,
Cebu City,2-Dec-94,"A ferry that capsized in a collision with the freighter Kota Suria off Manila Bay, with 140 people confirmed dead.[14][15]",
China Maru,21-Sep-44,A cargo ship that was sunk by US aircraft off Manila.,14°35′N 120°55′E
USS Cooper,3-Dec-44,An Allen M. Sumner-class destroyer that was sunk in the Battle of Ormoc Bay.,10°54′N 124°36′E
USS Darter,24-Oct-44,A Gato-class submarine that ran aground and was scuttled off Palawan.,9°24′22″N 116°59′02″E
Doña Marilyn,24-Oct-88,"A ferry that was caught in Typhoon Ruby off Almagro, Samar. Estimates of the number of dead vary from 50 to 150.[14][16][17]",
Dumaguete J,Oct-68,"A motor vessel carrying 500 people that capsized off Zamboanga, Mindanao. At least 300 were confirmed dead.",
USS Flier,13-Aug-44,A Gato-class submarine that struck a mine in the Balabac Strait.,7°58′43.21″N 117°15′23.79″E
Fujinami,27-Oct-44,A Yūgumo-class destroyer that was sunk by US aircraft 80 miles (130 km) north of Iloilo.,12°0′N 122°30′E
Hamanami,11-Nov-44,A Yūgumo-class destroyer that was sunk by US aircraft west of Leyte.,10°50′N 124°35′E
USS Harder,24-Aug-44,A Gato-class submarine that was sunk off Dasol.,
Hatsuharu,13-Nov-44,A Hatsuharu-class destroyer that was sunk in an air raid at Manila Bay.,14°35′N 120°50′E
USS Hoel,25-Oct-44,A Fletcher-class destroyer that was sunk in the Battle off Samar.,11°46′N 126°33′E
USS Hovey,7-Jan-45,A Clemson-class destroyer that was sunk in the Invasion of Luzon.,16°20′N 120°10′E
USS Indianapolis,30-Jul-45,A Portland-class cruiser that was torpedoed by Japanese submarine I-58 from the south of Philippine Sea.,12°2′N 134°48′E
Irako,24-Sep-44,A food supply ship that was scuttled at Coron Island after taking damage in an attack by aircraft of Task Force 38.[13],08°04′N 152°40′E
Isuzu Maru,Unknown,A transport ship that was sunk by USS Trout off the north coast of Marinduque Island.[18],
USS Johnston,25-Oct-44,A Fletcher-class destroyer,11°45′N 126°08′E
Kazagumo,8-Jun-44,A Yūgumo-class destroyer that was torpedoed by USS Hake at the mouth of Davao Gulf.,06°03′N 125°57′E
Kinu,26-Oct-44,A Nagara-class light cruiser that was bombed by US aircraft southwest of Masbate.,11°45′N 123°11′E
Kiyoshimo,26-Dec-44,A Yūgumo-class destroyer that was sunk by US forces off San Jose.,12°20′N 121°0′E
Kogyo Maru,Unknown,An army auxiliary supply ship that was sunk in Coron Island.[13],
Kumano,25-Nov-44,A Mogami-class cruiser that was sunk by US aircraft off Santa Cruz.,15°44′58″N 119°47′57″E
Kyokuzan Maru,Unknown,An army auxiliary supply ship that was sunk at Coron Island.[13],
USS Lanakai,1947,"A schooner-rigged diesel yacht that was confiscated from its German owners and renamed USS Hermes. After World War I, it was sold to MGM, who renamed it MV Lanakai and used it in the film The Hurricane, starring Jon Hall and Dorothy Lamour. During World War II, the ship operated as a covert intelligence-gathering vessel around the Philippines and Vietnam. It was sunk by a typhoon in 1947.[19]",14°46′N 120°15′E
USS Mahan,7-Dec-44,A Mahan-class destroyer that was sunk between Leyte and Ponson Island.,10°50′N 124°30′E
USS Majaba,Aug-46,"A lumber transport, known locally as El Capitan, that was commissioned for supply duties during World War II. A Liberty ship, the vessel received a Battle Star for her duties and survived being torpedoed by a Japanese submarine at Guadalcanal. She was sunk by typhoon in Subic Bay, whilst undergoing re-fit/repair after the war.[19]",14°46′N 120°15′E
Michishio,22-Oct-44,An Asashio-class destroyer that was sunk in the Battle of Surigao Strait.,10°25′N 125°23′E
Ming Dynasty,Unknown,A Chinese merchant vessel that was sunk off the coast of Marinduque.[20],
Mogami,25-Oct-44,A Mogami-class heavy cruiser that suffered heavy damage in the Battle of Surigao Strait and was scuttled.,09°40′N 124°50′E
Musashi,24-Oct-44,A Yamato-class battleship that was sunk in the Sibuyan Sea during the Battle of Leyte Gulf.,13°07′N 122°32′E
K-27,6-Sep-82,A November-class submarine that was scuttled off the northeastern coast of Novaya Zemlya.,72°31′N 55°30′E
Niitaka,26-Aug-22,A Niitaka-class protected cruiser that capsized in a typhoon off the Ust-Bolsheretsky District.,51°30′N 156°29′E
Sibiryakov,24-Aug-42,An icebreaker that was sunk by the German cruiser Admiral Scheer northwest of Russky Island.,76°00′N 91°31′E
U-362,5-Sep-44,A Type VIIC U-boat that was sunk by T-116 east of the Mona Islands.,75°51′N 89°27′E
U-639,28-Aug-43,A Type VIIC U-boat that was sunk by S-101 off Cape Flissingsky.,76°49′N 69°42′E
USS Wahoo,11-Oct-43,"A Gato-class submarine that was sunk by Japanese aircraft in La Perouse (Soya) Strait, between Hokkaidō and Sakhalin, during World War II.",
La Seyne,14-Nov-09,"A French liner belonging to the Messageries Maritimes fleet that collided with Onda (British India Steam Navigation Company) due to thick fog, and sank 30 nautical miles (56 km; 35 mi) off Singapore. 101 died, while many of the 61 who survived suffered grave wounds when attacked by sharks, prior to being saved by the crew of Onda. Refusing to be saved, the Captain of the French liner went down with his ship.",
Chang Tyong-ho,Jan-53,A Yosu-Busan route ferry that capsized off Busan. At least 249 people were confirmed dead; only seven survived.,
Hanseong-ho,Jan-73,"A Mokpo-Jin Island route ferry that capsized off Jeollanam-do. According to South Korean Coast Guard official confirmed report, at least 103 people were confirmed dead, only 48 persons survived.",
USS Magpie,1-Oct-50,A YMS-1-class minesweeper that hit a mine off North Gyeongsang Province.,36°30′N 129°30′E
Namyong ho,Dec-70,"A ferry that ran between Busan and Jeju-do, and capsized in Korea Strait, killing 323 people. Only 12 were rescued.",
Seohae,Oct-93,"A Puan County to Ui Island route ferry, capsized off Jeollabuk-do. According to South Korean Coast Guard official confirmed report, 292 person lost to lives, only 70 person rescued.",
Sewol,16-Apr-14,"A ferry with 476 souls on board – most of which were high school students – that capsized near Donggeochado after making a ""sudden turn"" that overbalanced the ship, which could not be righted. Only 172 survived. The captain and crew were later charged with criminal negligence, gross negligence and manslaughter after it was revealed the ship was heavily overbalanced, and that the captain and crew abandoned ship after ordering the passengers to remain seated even as water began filling the ship, resulting in unnecessary deaths.",34°13′5″N 125°57′0″E
Sperwer,August 1653,"A Dutch trading ship with the VOC (Dutch East India Company). It was blown off course and capsized in stormy weather off Jeju-do, killing 48 people, with 16 survivors.",
Yeong-ho,Oct-63,"A Yeonhwa Island to Mokpo route ferry, capsized off Jeollanam-do. According to South Korean Coast Guard official confirmed report, 140 person lost to lives, only a person rescued.",
Ava,16 February 1858,A steamship that ran aground near Trincomalee.,
British Sergeant,9-Apr-42,A tanker that was sunk off Batticaloa by Japanese aircraft.,
Great Basses wreck,Unknown,"An 18th century shipwreck on the Great Basses Reef, discovered by Arthur C. Clarke in 1961.",06°10′50″N 81°28′50″E
HMS Hollyhock,9-Apr-42,A corvette that was sunk by Japanese air attack.,07°21′N 81°57′E
Farah III,6-Dec,A cargo ship that was forcibly boarded by LTTE Sea Tigers and run aground near Mullaitivu. The Sri Lanka Army re-captured the wreck in 2009.,09°18′52″N 80°47′29″E
HMS Tenedos,5-Apr-42,An S-class destroyer that was sunk at Colombo during the Indian Ocean raid.,6°57′17″N 79°51′20″E
HMAS Vampire,9-Apr-42,A V-class destroyer that was sunk by Japanese air attack.,7°35′N 82°5′E
HMS Hermes,9-Apr-42,An aircraft carrier that was sunk by Japanese air attack.,
HMCyS Vijaya,1975,An Algerine-class minesweeper of the Royal Ceylon Navy that sank in a strong storm in the Gulf of Mannar.,
Hatakaze,15-Jan-45,A Kamikaze-class destroyer that was sunk by US aircraft at Kaohsiung.,22°40′N 120°14′E
Minekaze,10-Feb-44,A Minekaze-class destroyer that was torpedoed by USS Pogy off Taitung County.,22°12′N 121°30′E
King Cruiser,4-May-97,A car ferry that hit a reef off the Phi Phi Islands.,
Ocean Dream,27-Feb-16,"A cruise ship that had been abandoned for a year without any maintenance, sank and capsized in shallow waters near the port of Laem Chabang, Sri Racha.",
HTMS Sukhothai,18-Dec-22,"A Ratanakosin-class corvette that sank in a storm off Bang Saphan Noi, Prachuap Khiri Khan.",11°00′N 99°53′E
Alexandra,8-Feb-18,A French ship that was sunk by Turkish coastal artillery about 1-mile (1.6 km) outside Avova Bay (Ağva Körfezi).,
Âsâr-ı Tevfik,11-Feb-13,"An ironclad warship that ran aground off Yalıköy, Istanbul.",
HMS Arno,23-Mar-18,A destroyer that collided with HMS Hope in the Dardanelles.,40°14′30″N 26°30′30″E
Bouvet,18-Mar-15,"A pre-dreadnought battleship, launched in 1896 and sunk by Turkish coastal artillery in the Dardanelles Campaign.",40°01′15″N 26°16′30″E
